Thai,English
เกาะคา - สามัคคี,Kha -Samakkhi Island
เจดีย์หัก - หนองหอย,Chedi Pak - Nong Hoi
ดงสันเงิน - ขามแดง,Dongsan Ngern - Kham Daeng
พะเยา - สันต้นแหน,Phayao -San Ton
แยกทางหลวงหมายเลข 1263 (กม.ที่ 12+100) - บ้านแม่จ๋า,Highway intersection number 1263 (km 12+100) - Ban Mae Ja
แยกทางหลวงหมายเลข 3 (กม.ที่ 161+200) - บ้านเขาชีจรรย์,Highway 3 (Km 161+200) - Ban Khao Chi Chan
แยกทางหลวงหมายเลข 2230 (กม.ที่ 3+150) - บ้านเลิศไมตรี,Highway intersection number 2230 (km 3+150) - Ban Lert Maitri
ควนหิน - สงขลา,Kuan Hin -Songkhla
แยกทางหลวงหมายเลข 115 (กม.ที่ 9+200) - บ้านโคนเหนือ,Highway 115 (km 9+200) - Ban Khon Nuea
ขอนแก่น - พรหมนิมิตร,Khon Kaen - Phrom Nimit
มะขามสูง - พญาแมน,Tamarind - Phaya Man
คลองทราย - จันทบุรี,Khlong Sai - Chanthaburi
ลูกแก - หนองเสือ,Children - Nong Suea
ปวงตึก - นาตำบล,Building -Na Subdistrict
ซับบอน - มวกเหล็ก,Subon - Muak Lek
บางบัวทอง - ไทรน้อย,Bang Bua Thong - Sai Noi
แยกทางหลวงหมายเลข 416 (กม.ที่ 35+500) -บ้านสะพานวา,Highway 416 (km 35+500) -Ban Saphan Wa
พล - บ้านไผ่,Phon -Ban Phai
สระขวัญ - เขามะกา,Kwan - Khao Maka
ทางพาด - พล,The way
ลำน้ำชี - บ้านพม่า,Chi River - Burmese House
นาพระชัย - ท่าอุเทน,Na Phra Chai - Tha Uthen
แยกทางหลวงชนบท สต.3007 (กม.ที่ 14+800) - บ้านเหนือคลอง,Rural Road Intersection 3007 (Km 14+800) - Ban Nuea Khlong
แยกปากจั๊วะ - แยกเจริญราษฎร์,Pak Chua Intersection - Charoen Rat Intersection
แยกทางหลวงหมายเลข 212 (กม.ที่ 259+120) - บ้านเหล่าภูมี,Highway 212 (Km. 259+120) - Ban Lao Phum
แยกทางหลวงหมายเลข 2 (กม.ที่ 81+200) - บ้านสามเหลี่ยม,Highway 2 (km 81+200) - Triangle house
บางสัก - ท้ายเหมือง,Bang Sak - Thai Mine
ท่าล้อ - เมืองหลวง,Lai -capital
กลางน้อย - ย้อมพัฒนา,Middle - Dye development
เกษตรวิสัย - สุวรรณภูมิ,Kaset Wisai -Suvarnabhumi
อรัญประเทศ - แก้วเพชรพลอย,Aranyaprathet - Kaew Phet Ploy
แยกทางหลวงท้องถิ่น อบจ.3002 (กม.ที่ 10+000) - บ้านโนนไหม,"Local Highway Intersection, PAO 3002 (Km 10+000) - Ban Non Mai"
คลองกระจัง - ศรีเทพ,Khlong Krum - Si Thep
แยกทางหลวงหมายเลข 1093 (กม.ที่ 11+150) - บ้านแกใหม่,Highway 1093 (km 11+150) - Ban Kae Mai
บ้านปล้อง - ชมภู,Ban Plong -Chomphu
พะเยา - ปากบอก,Phayao - Pak said
แยกทางหลวงหมายเลข 32 (กม.ที่ 52+550) - บ้านมหานาม,Highway 32 (km 52+550) - Ban Mahanam
ร่องคำ - โพนทอง,Golden groove
สะเดา - มาเลเซีย (เขตแดนไทย/มาเลเซีย),Neem - Malaysia (Thai/Malaysia)
แยกภาคเหนือ - ขุนตาน,Separate the northern region - Khun Tan
ยโสธร - บ้านย่อ,Yasothon - Ban Suea
โคกใหญ่ - วังยาว,Big Cock - Wang Yao
แยกทางหลวงหมายเลข 2037 (กม.ที่ 27+200) - บ้านห้วยยางดำ,Highway intersection number 2037 (Km. 27+200) - Ban Huai Yang Dam
แยกทางหลวงหมายเลข 3168 (กม.ที่ 4+840) - บ้านบ่อนอก,Highway intersection number 3168 (km 4+840) - Ban Bo Nok
แยกทางหลวงหมายเลข 214 (กม.ที่ 12+800) - อำเภอร่องคำ,Highway 214 (Km 12+800) - Rong Kham District
หนองขรี - เทศบาลเมืองท่าข้าม,Nong Kree - Tha Kham Municipality
ทางเลี่ยงเมืองแม่ฮ่องสอน,Avoiding Mae Hong Son city
แยกทางหลวงหมายเลข 1021 (กม.ที่ 79+200) - บ้านม่วงชุม,Highway 1021 (Km. 79+200) - Ban Muang Chum
แยกทางหลวงหมายเลข 212 (กม.ที่ 108+500) - บ้านนาขาม,Highway 212 (Km. 108+500) - Ban Na Kham
นาเฉลียง - วังชมภู,Na Chaliang - Wang Chomphu
หนองบัวโคก - โคกสวาย,Nong Bua Khok - Khok Sawai
หนองสองห้อง - โคกสะอาด,Nong Song Hong - Khok Sa -at
ดอนตูม - ลำลูกบัว,Don Tum - Lam Luk Bua
บางสีกิ้ม - เขาค่าย,Bang Kim - Khao Camp
แยกทางหลวงหมายเลข 120 (กม.ที่ 1+000) - มหาวิทยาลัยพะเยา (ประตู 2),Highway 120 (km 1+000) - Phayao University (Gate 2)
คำแก่นคูน -  เขื่อนอุบลรัตน์,Kham Kaen Koon - Ubonrat Dam
แยกทางหลวงหมายเลข 201(กม.ที่ 96+100) - บ้านเขว้า,Highway intersection number 201 (km 96+100) - Ban Khwao
ฉะเชิงเทรา - บางน้ำเปรี้ยว,Chachoengsao - Bang Nam Priao
แยกทางหลวงหมายเลข 3183 (กม.ที่ 18+350) - แยกทางหลวงหมายเลข 340 (กม.ที่ 152+068) (ช่วงหันคา),Highway intersection number 3183 (km 18+350) - Highway intersection number 340 (km 152+068)
สระพัง - เขาวัง,Pool - Khao Wang
คุยประดู่ - คลองโพธิ์,Talk to Pradu - Khlong Pho
ธาตุนาเวง - สกลนคร,Nana Wen -Sakon Nakhon
บ้านเนียง - ยะหา,Ban Niang -Yaha
เขาชนกัน - มอตะแบก,They collide - Mor Tabaek
นาสาร - เวียงสระ,Nasarn -Wiang Sa
แยกทางหลวงหมายเลข 4137 (กม.ที่10+800) -เทศบาลตำบลควนโดน,Highway 4137 (Km 10+800) -Khuan Don Subdistrict Municipality
บ้านไผ่  - ไพศาล,Ban Phai -Phaisan
แยกทางหลวงหมายเลข 32 (กม.ที่ 19+500) - บ้านอุทัย,Highway 32 (km 19+500) - Ban Uthai
ห้วยแอ่ง - ร้อยเอ็ด,Huai Kong - Roi Et
ท่าเดื่อ - ชุมแพ,Tha Dua - Chum Phae
สี่แยกปักธงชัย - สี่แยกโชคชัย,Pak Thong Chai intersection - Chokchai Intersection
แยกทางหลวงหมายเลข 101 (กม.ที่ 147+000) - แยกทางหลวงหมายเลข 103,Highway 101 (km 147+000) - Highway intersection number 103
ละงู - ฉลุง,Snake -Chalung
บางเลน - ลำลูกบัว,Bang Len - Lam Luk Bua
ศรีบุญเรือง - ภูเวียง,Sri Boonruang -Phu Wiang
กระเทียม - ห้วยสำราญ,Garlic - Huai Samran
สุคิริน - โต๊ะโม๊ะ,Sukirin - Table Mo
ปากทางเขื่อนลำปาว - หนองผ้าอ้อม,The entrance of the Lam Pao Dam - Nong Rai Om
จอมมณี - ดอนพัฒนา,Chommanee - Don Phatthana
อำนาจเจริญ - ลืออำนาจ,Amnat Charoen - Rumor power
นิคม - หินดาน,Sikhom -Hin Dan
ซอโอ - วะเล่ย์,Seo -Wale
สว่างวีระวงศ์ - พิบูลมังสาหาร,Sawang Wirawong -Phibun Mangsahan
แยกทางหลวงหมายเลข 33 (กม.ที่ 196+577) - บ้านใต้,Highway 33 (km 196+577) - Ban Tai
แยกทางหลวงหมายเลข 340 (กม.ที่ 115+200) - บ้านคลองชะอม,Highway intersection number 340 (km 115+200) - Ban Khlong Cha -om
นาโพธิ์ - ห้วยสะแบก,Na Pho - Huai Sabae
แยกทางหลวงหมายเลข 101 (กม.ที่ 46+442) - บ้านลานหอย,Highway 101 (km 46+442) - Ban Lan Hoi
บ้านงิ้ว - ลำน้ำยัง,Ban Ngio - River
สุขสำราญ - สำโรงชัย,Suk Samran - Samrongchai
แยกมหาวิทยาลัยเกษตรศาสตร์ - สี่แยกแคราย,Junction Kasetsart University - Khae Rai Intersection
แยกทางหลวงหมายเลข 2109 (กม.ที่ 10+450) - บ้านดอนดู่,Highway 2109 (Km 10+450) - Ban Don Du
แยกทางหลวงหมายเลข 1148 (กม.ที่ 2+075) - บ้านสบขุ่น,Highway 1148 (Km 2+075) - Ban Sop Khun
แยกทางหลวงหมายเลข 32 (กม.ที่ 87+700) - บ้านกลาง,Highway intersection number 32 (km 87+700) - Ban Klang
บ้านสามแยก - วิเชียรบุรี,"House Sam Y ""Wichian Buri"
สกลนคร - นาแก,Sakon Nakhon - Na Kae
นาคำไฮ - หนองแวง,Na Kham Hai -Nong Waeng
แยกทางหลวงหมายเลข 347 (กม.ที่ 21+700) - บ้านพลับ,Highway 347 (Km. 21+700) - Ban Plub
มวกเหล็ก - กลุ่มพระบาท,Muak Lek - Phrabat Group
สวนแตง - ไชยา,Park - Chaiya
เขาวัง - น้ำพุ,Khao Wang - Fountain
วังพิกุล - ซับสมอทอด,Wang Phikul
ท่ากกแดง - บึงกาฬ,Bueng Kok - Bueng Kan
ระยอง - กะเฉด,Rayong -
แยกมะนาวหวาน - ม่วงค่อม,Sweet lemon -purple
สมเด็จ - สร้างค้อ,Somdej - Sang Kho
ศิลาทิพย์ - โคกแสมสาร,Silathip - Khok Samae San
ศรีสะเกษ - ห้วยขะยุง,Sisaket - Huai Khayung
ท่าแค - โก่งธนู,Tha Khae
แก่งเสี้ยน - ท่าพะเนียด,Kaeng Sian - Tha Pan
ปงน้อย - สันทราย,Pong Noi - Sansai
บ้านนา - ปากปรน - บกหัก,Ban Na -Pakprapan -Break
สะพานพระนั่งเกล้า - ต่างระดับบางใหญ่,Phra Nang Klao Bridge - Bang Yai level
ท่าโรงช้าง - ควนสามัคคี,Tha Rong Chang - Khuan Samakkhi
อีเหลอ - ปากช่อง,Lee Lo -Pak Chong
บางคราม - พนม,Some drama - Phanom
หนองขาม - หนองหาน,Nong Kham - Nong Han
แยกถนนเทศบาลท่าโขลง - บ้านคลองสิบสาม,"Intersection, Tha Khong Municipal Road - Ban Khlong Sip Sam"
แยกทางหลวงหมายเลข 101 (กม.ที่ 143+600) - บ้านเด่นชัย (ปลายทาง),Highway intersection number 101 (km 143+600) - Ban Den Chai (destination)
ทางแยกต่างระดับวังน้อย - ลำตาเสา,Wang Noi -Lam Ta Sao Intersection
แยกทางหลวงหมายเลข 317 (กม.ที่ 100+400) - บ้านวังโพธิ์ทอง,Highway 317 (km at 100+400) - Ban Wang Pho Thong
ทางเลี่ยงเมืองกำแพงเพชร,Avoid Kamphaeng Phet
ปง - ห้วยกอก,Pong -Huai Kok
เตาปูน - เบิกไพร,Tao Poon - Pimprai
ไชโย - สิงห์ใต้,Chaiyo -Singha Tai
มหาสารคาม - วาปีปทุม,Maha Sarakham - Wapi Pathum
แยกทางหลวงหมายเลข 21 (กม.ที่ 227+800) - เขตเทศบาลเมือง,Highway 21 (Km. 227+800) - Municipality
พิษณุโลก - มะขามสูง,Phitsanulok - tamarind
กระสัง - ระกา,Krasang -Racha
หนองแวงโสกพระ - พล,Nong Waeng Sok Phra -Phon
แยกทางหลวงหมายเลข 108 (กม.ที่ 258+825) - บ้านน้ำเพียงดิน,Highway 108 (km at 258+825) - Ban Nam Pong Din
คลองโพธิ์ - ท่าช้าง,Khlong Pho - Tha Chang
บางอ้อ - สำนักงานพลังงานปรมาณูเพื่อสันติ,Bang Or - Office of Atomic Energy for Peace
จตุรพักตรพิมาน - ปทุมรัตต์,Chaturaphak Phiman -Pathumrat
ยะหา - บาละ,Yaha -Bala
ปากปวน - ปากภู,Pak Puan - Pak Phu
บ้านสวน - ตาลเตี้ย,Ban Suan - Tan Tia
นาไพร - ม่วงเจ็ดต้น,Na Phrai -Purple Seven Tree
แยกทางหลวงหมายเลข 333 (กม.ที่ 2+950) - บ้านรางพยอม,Highway 333 (Km 2+950) - Ban Rang Phayom
แยกทางหลวงหมายเลข 12 (กม.ที่ 629+580) - บ้านโคกก่อง,Highway 12 (Km 629+580) - Ban Khok Kong
แยกทางหลวงหมายเลข 32 (กม.ที่ 18+035) - บ้านโปรตุเกส (ถนนเลี่ยงเมือง),Highway 32 (km 18+035) - Portuguese House (Bypass Road)
แยกทางหลวงหมายเลข 1204 (กม.ที่ 33+550) - บ้านเกาะใต้,Highway 1204 (km at 33+550) - Ban Koh Tai
แคราย - คลองบ้านใหม่,Khae Rai - Ban Mai Canal
ศรีชุม - แม่ทะ,Sri Chum -Mae Tha
แยกทางหลวงหมายเลข 340 (กม.ที่ 55+900) - บ้านไม้ตรา,Highway intersection number 340 (km 55+900) - wooden house
แยกทางหลวงหมายเลข 1023 (กม.ที่ 1+000) - บ้านดงเจริญ,Highway intersection number 1023 (km 1+000) - Ban Dong Charoen
วังสะพุง - ตาวตาด,Wang Saphung - Tad Tad
แยกทางหลวงหมายเลข 3 (กม.ที่ 243+020) - บ้านท่าเรือ,Highway 3 (Km. 243+020) - Ban Tha Ruea
บางพลี - กิ่งแก้ว,Bang Phli - Kingkaew
ห้วยปลาหลด - สี่แยกยางตลาด,Huai Pla Lad - Rubber Intersection
ป่าสัก - สะปุ๋ง,Pa Sak -Sapung
ทางเข้าลำนารายณ์,Lam Narai entrance
เขาทราย - สากเหล็ก,Khao Sai - Squeeze Steel
ห้วยสะแบก - อำนาจเจริญ,Huai Sabok - Amnat Charoen
อินทนนท์ - แม่แจ่ม,Inthanon - Mae Chaem
ถนนวงแหวนรอบเมืองขอนแก่นด้านทิศตะวันตก,Ring Road around Khon Kaen city on the west side
ตาก - สะพานวุฒิกุล,Tak - Wuttikul Bridge
แยกทางหลวงหมายเลข 212 (กม.ที่ 162+200) - บ้านโนนจำปาทอง,Highway 212 (Km 162+200) - Ban Non Champaong
บ้านลี่ - สี่แยกโรงต้ม,Ban Li - Rong Tom Intersection
นครปฐม - ดอนตูม,Nakhon Pathom - Don Tum
แยกทางหลวงหมายเลข 107 (กม.ที่ 154+000) - บ้านแม่สลัก,Highway intersection number 107 (km 154+000) - Mae Salak House
ท่าคล้อ - แสลงพัน,Tha Chlo -slang
เนินหลังเต่า - หนองเสม็ด,Turtle -Nong Samet
แยกทางหลวงหมายเลข 4135 (กม.ที่ 8+300) - บรรจบทางหลวงหมายเลข 4145,Highway 4135 (km 8+300) - Control Highway 4145
แยกทางหลวงหมายเลข 2049 (กม.ที่ 24+150) - บ้านคูณสวรรค์,Highway intersection number 2049 (km 24+150) - Ban Koon Sawan
หัวโท - ล้องอ้อ,Master's head
แยกทางหลวงหมายเลข 101 (กม.ที่ 154+050) - แยกทางหลวงหมายเลข 101 (กม.ที่ 143+800),Highway intersection number 101 (km 154+050) - Highway 101 (Km 143+800)
น้ำตกวังก้านเหลือง - ลำนารายณ์,Wang Khan Lueng - Lam Narai Waterfall
อ้อมใหญ่ - นครชัยศรี,Om Yai - Nakhon Chai Si
แยกทางหลวงหมายเลข 3412 (กม.ที่ 9+800) - บ้านบางหัก,Highway 3412 (Km 9+800) - Ban Bang Hak
กาฬสินธุ์ - แยกดงแหลม,Kalasin - Dong Laem Intersection
ห้วยชินสีห์ - หินสี,Huai Chin Si - stone color
ผาหลัก - สะเกิน,Pha Lak -Psorin
ท่าล้อ - เมืองปาน,Pier - Mueang Pan
หนองยาง - บ้านซาง,Nong Yang - Ban Sang
ท่าช้าง - สระบัวก่ำ,Tha Chang - Bua Kam
พนัสนิคม - เกาะโพธิ์,Phanat Nikhom - Ko Pho
แยกทางหลวงหมายเลข 7 (กม.ที่ 80+600) - บ้านหนองกระเสริม,Highway intersection number 7 (km at 80+600) - Ban Nong Kraserm
ไร่อ้อย - อุตรดิตถ์,Sugarcane Farm - Uttaradit
บางขนาก - ปราจีนบุรี,Bang Khan - Prachinburi
แยกทางหลวงหมายเลข 3143 (กม.ที่ 14+039) - บ้านหนองบัว,Highway 3143 (Km 14+039) - Ban Nong Bua
แม่สุริน - ปางหมู,Mae Surin - Pang Pig
กระบุรี - หงาว,Kraburi - Hong Rao
มีนบุรี - แยกเคหะร่มเกล้า,Min Buri - Romklao Housing intersection
จตุพักตรพิมาน - ห้วยพลับพลา,Jatujang Phiman - Huai Plubpla
นาโยงเหนือ - ย่านตาขาว,Northern Northern - Yan Ta Khao
โกสุมพิสัย - โคกสูง,Kosum Phisai - Sung
ยางเฌอ - มหาชนะชัย,Yang Cher -Mahachana Chai
บ้านบึง - มาบปู,Ban Bueng - Map Pu
น้ำใส - น้ำตวง,Clear water - measuring water
ปาแด - มะพร้าวต้นเดียว,Pa Dae -Coconut
นิคมเขาบ่อแก้ว - โค้งวิจารณ์,Khao Bo Kaeo Industrial Estate - Curved
ปราจีนบุรี - ศรีมหาโพธิ,Prachinburi - Sri Maha Phot
แยกทางหลวงหมายเลข 2275 (กม.ที่ 53+800) - บ้านซับตะแบก,Highway 2275 (km 53+800) - Ban Sub Tabaek
บางตำหรุ - คลองด่าน,Bang Tamru - Khlong Dan
แยกทางหลวงหมายเลข 3 (กม.ที่ 160+500) - บ้านชากแง้ว,Highway 3 (km 160+500) - Ban Chak
ปากน้ำเทพา - ธารคีรี,Pak Nam Thepha -Than Kiri
พิษณุโลก - ร้องโพธิ์,Phitsanulok - Rong Pho
แยกทางหลวงหมายเลข 1068 (กม.ที่ 8+100) - บ้านบึงสีไฟ,Highway intersection number 1068 (km 8+100) - Ban Bueng Si Fai
ห้วยศาลา - จอมบึง,Huai Sala - Chom Bueng
ถนนสาย ก ผังเมืองรวมเมืองเพชรบูรณ์,"City Planning Road, Phetchabun Mueang"
แยกทางหลวงหมายเลข 107 (กม.ที่ 72+500) - บ้านเมืองคอง,Highway 107 (km 72+500) - Kong
สุรินทร์ - ลำดวน,Surin -Lamduan
ศรีราชา - พัทยา,Sriracha -Pattaya
แยกทางหลวงหมายเลข 117 (กม.ที่ 112+500) - บ้านบางระกำ,Highway 117 (km 112+500) - Ban Bang Rakam
โพนทอง - ห้วยคล้อ,Phon Thong - Huai Khlo
ท่าก้อน - เซกา,Tha Kon -Seka
ศรีบุญเรือง - วังหมื่น,Sri Bunrueang - Wang Muen
วารินชำราบ - หนองงูเหลือม,Warin Chamrap - Nong Ngam
เขื่องใน - อุบลราชธานี,Khem Nai -Ubon Ratchathani
หนองสองห้อง - ศรีเชียงใหม่,Nong Song Hong - Sri Chiang Mai
นครชัยศรี - ดอนตูม,Nakhon Chai Si - Don Tum
วัดสิงห์ - บ้านโคก,Wat Sing - Ban Khok
เหนือคลอง - สองแพรก,Above the canal - two raft
เมืองเก่า - อุทยานแห่งชาติศรีสัชนาลัย,Old town - Si Satchanalai National Park
บางสะพาน - น้ำรอด,Bang Saphan - Nam Rod
แยกทางหลวงหมายเลข 11 (กม.ที่ 44+900) - บ้านวังกรด,Highway 11 (km 44+900) - Ban Wang Krot
บ้านสะอาด - เหล่านางาม,Clean house - Ngam Ngam
ดอนโก - ชะเลียง,Don Ko -Chalang
ซับประดู่ - สี่แยกปักธงชัย,Subpradu - Pak Thong Chai intersection
ทางต่างระดับหนองขาม - ท่าเรือแหลมฉบัง (ทางบริการด้านขวาทาง),Different levels of Nong Kham - Laem Chabang Port (The service on the right side)
ป่าบอนเหนือ - โหล๊ะจังกระ,Bon Bon Nuea Forest
โป่งวัว - อุทยานแห่งชาติภูกระดึง,Pong Wua - Phu Kradueng National Park
วังวน - แจกัน,Wang Nuan - Vase
แยกทางหลวงหมายเลข 212 (กม.ที่ 2+700) - บ้านฝายแตก,Highway 212 (Km 2+700) - Ban Fai
บางพลัด - บางบำหรุ,Bangpla - Bang Bamru
บางระกำ - บ่อทอง,Bang Rakam - Bo Thong
ทางเข้านิมิตรใหม่,New vision entrance
ห้วยสีดา -ปากทางเขื่อนลำปาว,Huai Sida -Lam Pao Dam
น้ำเป - ห้วยก้านเหลือง,Water - Huai Khan Lueng
ทางเลี่ยงเมืองมุกดาหาร,Avoid Mukdahan
แยกโคกตาล - หัวช้าง,Khok Tan -Hua Chang Intersection
สว่างแดนดิน - ส่องดาว,Sawang Daen Din - shining stars
โคกเจริญ - หนองมะค่า,Khok Charoen - Nong Makha
บ้านบ่อแก้ว - สะพานแม่ริด,Ban Bo Kaew - Mae Rid Bridge
สระบุรี - ตาลเดี่ยว,Saraburi - Tan Single
ไผ่ชะเลือด - โคกไทย,Bamboo -Thai bamboo
แยกทางหลวงชนบท นบ.1011 (กม.ที่ 1+900) - บ้านศาลากลาง,"Junction of Rural Road, Nor. 1011 (km 1+900) - Ban Hall"
แยกทางหลวงหมายเลข 1156 (กม.ที่ 18+800) - บ้านหล่ายแก้ว,Highway 1156 (Km. 18+800) - Ban Lai Kaew
ตาคลี - หนองหลวง,Takhli - Nong Luang
หัวไผ่ - ชลบุรี,Bamboo head - Chon Buri
แยกทางหลวงชนบทหมายเลข รอ.2027 (กม.ที่ 11+544) - บ้านโพธิ์ตาก,Rural Road Intersection. 2027 (km 11+544) - Ban Pho Tak
หนองหล่ม - คอนสาร,Nong Lom - Concrent
ดอนระเบียง - ป่าไร่หลวง,Don Rabiang - Pa Rai Luang
กระทิงลาย - บ้านโป่ง,Bull pattern - Ban Pong
หนองหาน - สุมเส้า,Nong Han - Sumoso
บ้านห้วยเดื่อ - บ้านแม่เหล็ก,Ban Huai Dua - Magnety House
สะพานแม่ริด - ห้วยงู,Mae Rid Bridge - Huai Snake
ท่าห้วยหลัว - กุดเรือคำ,Tha Huai Lua - Kut Rua Kham
เทคโนโลยีปทุมธานี - ต่างระดับเชียงรากน้อย,Pathum Thani Technology - Chiang Mai Noi Level
ทางออกจากถนนวงแหวนอุตสาหกรรมสู่ถนนสุขสวัสดิ์,The way out of the industrial ring to Suksawat Road
ปากคลอง - ปากน้ำชุมพร,Pak Khlong - Pak Nam Chumphon
บ้านวัด - คง,Temple house - Kong
พังงอน - จางวาง,Phang Neng -Zhangwang
น้ำกระจาย - คลองวง,Spreading water - Khlong Wong
สันป่าฝ้าย - ห้วยไซ,San Pa Fai - Huai Sai
สามโก้ - คลองลี่,Samco -Khlong Li
ซอยสิบ - นาสาร,Soi Sip -Nasarn
ทางเข้าสวรรคโลก,The entrance to Sawankhalok
กิ่วพร้าว - เชียงแสน,Kio Prao - Chiang Saen
ทางเข้าถนนสุขสวัสดิ์สู่ถนนวงแหวนอุตสาหกรรม,The entrance to Suksawat Road to Industrial Ring Road
หนองกา - คำตากล้า,Nong Ka - Kham Ta Kla
ลำน้ำยัง - กุฉินารายณ์,Yang -Ku Qinari River
ทุ่งคอก-วังขอน,Thung Khok-Wang Khon
ตาฮะ - จอมพระ,Eyes
น้ำเทิน - บ่อโพธิ์,Nam Thin - Bo Pho
สัตหีบ - เขาบายศรี,Sattahip - Khao Baisri
ร้อยเอ็ด - หนองคูโคก,Roi Et - Nong Kokok
คลองบางแก้ว - บ้านขวาง,Khlong Bang Kaew - Ban Khwang
ถนนวงแหวนรอบเมืองพิษณุโลกด้านทิศใต้,Ring Road around Phitsanulok city south
บางแม่หม้าย - บางน้อยใน,Some widows - Bang Noi in
แยกทางหลวงหมายเลข 309 (กม.ที่ 64+300) - บ้านบางพลับ,Highway intersection number 309 (Km 64+300) - Ban Bang Plub
แม่จา - รินหลวง,Mother Ja -Rin Luang
กระแสบน - แกลง,Top trend - Klaeng
แม่น้ำเวฬุ - เขาสมิง,Welu -Khao Saming River
หนองโค้ง - กิ่วคอหมา,Nong Khong - Kio Kho Dog
เก้าห้อง - บางแม่หม้าย,Nine rooms - Bang Mae widow
หนองกุลา - พิษณุโลก,Nong Kula - Phitsanulok
ไทรโยค - ท่าทุ่งนา,Sai Yok -Tha Thung Na
โคกงาม - หนองบง,Kong Kam - Nong Bong
โนนสว่าง - ปากปวน,Non Sawang - Pak Puan
คลองประปา - คันนายาว,Khlong Phet - Kannayao
คลองห้วยไผ่ - เทศบาลลำนารายณ์,Huai Phai Canal - Lam Narai Municipality
หนองหัวคู - บ้านผือ,Nong Hua Khu - Ban Phue
สระแก้ว - หนองโดก,Sa Kaeo - Nong Dok
โคกไทร - ปวงตึก,Khok Sai -Puang Building
สันกลางใต้ - ห้วยแก้ว,South -Huai Kaew
แยกทางหลวงหมายเลข 2 (กม.ที่ 62+878) - บ้านพรประจักษ์,Highway 2 (Km 62+878) - Ban Por Prakan
หัวทะเล - หนองกระทิง,Sea head - Nong Krating
ไร่ใหม่ - แยกนิคมทับเสลา,New Rai - Thap Salai Industrial Estate
หนองสวน - คำสน,Nong Suan - Kham Son
แยกทางหลวงหมายเลข 4 (กม.ที่ 21+000) - บ้านคลองมะเดื่อ,Highway 4 (Km. 21+000) - Ban Khlong Maduea
ดอนพัฒนา - โสกแมว,Don Phatthana - Sok Cat
ดอนจิก - อ่างศิลา,Don Jik - Ang Sila
บางกระสั้น - บางปะหัน,Bang Kradai - Bang Pahan
หนองไม้แดง - ชลบุรี,Nong Mai Daeng - Chon Buri
แยกทางหลวงหมายเลข 403 (กม.ที่ 8+800) - บ้านลานสกา,Highway intersection number 403 (km 8+800) - Ban Lan Saka
อยุธยา - ไผ่กองดิน,Ayutthaya - Phai Kong Din
หนองเสือ - วังวน,Nong Suea - Wanguan
แยกทางหลวงหมายเลข 3412 (กม.ที่ 2+900) - บ้านบางบาล,Highway 3412 (Km 2+900) - Ban Bang Ban
วังตะโก - โคกเจริญ,Wang Tako -Khokcharoen
สุพรรณบุรี - ลาดตาล,Suphanburi - Lat Tan
ห้วยนาง - ต้นม่วง,Huai Nang - Ton Muang
ป่าขนุน - วังผาชัน,Jackun Forest - Wang Pha Chan
วงแหวนรอบเมืองสุราษฎร์ธานี,Ring around Surat Thani city
มวกเหล็ก - แสลงพัน,Muak Lek - Slang Phan
หนองยาว - ลำดวน,Nong Yao - Lamduan
แยกทางหลวงหมายเลข 21 (กม.ที่ 155+485) - บ้านเพชรละคร,Highway 21 (km 155+485) - Ban Phet Drama
ชนแดน - ดงขุย,Chon Dan
นาเกตุ - ป่าพ้อ,Naket - Pa Po
จุดเชื่อมต่อสะพานภูมิพลที่ 1 เข้าถนนวงแหวนอุตสาหกรรม,Bhumibol Bridge connection point 1 into the industrial ring road
ลำพันชาด - บ้านผาสุก,Lam Phan Chad - Ban Pha Suk
พาน - บ้านวัง,Phan - Ban Wang
ปากระวะ - สทิงพระ,Pakrawa -Sathing Phra
แยกทางหลวงหมายเลข 116 (กม.ที่ 4+000) - บ้านป่าไม้,Highway 116 (km 4+000) - Ban Pa Mai
บ้านฟ่อน - ศูนย์สร้างทางลำปาง,Ban Fon - Lampang Building Center
ป๊อกแป๊ก - สันมะค่า,Pok Pok - San Makha
หลักสาม - คลองยกกระบัตร,Three Laks
ผานกเค้า - หลักร้อยหกสิบ,Pha Nok Khao - Hundreds of sixty
แยกทางหลวงหมายเลข 114 (กม.ที่ 1+650) - บ้านบูชา,Highway 114 (km 1+650) - Baan Bucha
หัวเตย - ท่าโรงช้าง,Hua Toei - Tha Rong Chang
ดอนไผ่ - แก้งสนามนาง,Don Phai -Kaeng Sanam Nang
แยกทางหลวงหมายเลข 104 (กม.ที่ 24+100) - เทศบาลเมืองกำแพงเพชร,Highway 104 (Km 24+100) - Kamphaeng Phet Municipality
แยกทางหลวงหมายเลข 2275 (กม.ที่ 67+850) - บ้านท่าด้วง,Highway 2275 (Km 67+850) - Ban Tha Duang
ล้องอ้อ - เมืองงาม,Nong Or - Mueang Ngam
แยกทางหลวงหมายเลข 317 (กม.ที่ 128+500) - บ้านเขาแหลม,Highway intersection number 317 (km 128+500) - Ban Khao Laem
ปากชม - เชียงคาน,Pak Chom - Chiang Khan
แยกทางหลวงหมายเลข 1 (กม.ที่ 754+150) - บ้านแม่เย็น,Highway 1 (Km. 754+150) - Ban Mae Yen
หนองแหน - หนองเขื่อน,Nong Nae - Nong Dam
